@id,highway,lanes,maxspeed,name,@type,@lat,@lon,@version,@count:nodes,@count:ways
5993193,residential,2,,21st Street,way,,,12,,
593614558,residential,2,,20th Street,way,,,6,,
593615452,residential,2,,22nd Street,way,,,6,,
5976595,tertiary,2,,28th Street,way,,,20,,
5994630,primary,2,,West Market Street,way,,,25,,
6031674,residential,2,,Union Street,way,,,20,,
276918270,primary,2,,West Market Street,way,,,18,,
365034001,tertiary,,40 mph,Kettner Boulevard,way,,,8,,
365034002,tertiary,,40 mph,Kettner Boulevard,way,,,9,,
436285077,primary,3,45 mph,West Harbor Drive,way,,,15,,
436285078,primary,4,45 mph,West Harbor Drive,way,,,12,,
436285080,primary,5,45 mph,West Harbor Drive,way,,,13,,
436285081,primary,4,45 mph,West Harbor Drive,way,,,18,,
436285082,primary,5,45 mph,West Harbor Drive,way,,,15,,
436285083,primary,5,,West Harbor Drive,way,,,13,,
436285085,primary,4,,West Harbor Drive,way,,,14,,
436285086,primary,,45 mph,West Harbor Drive,way,,,12,,
436285088,primary,3,,West Harbor Drive,way,,,13,,
436285089,primary,3,45 mph,West Harbor Drive,way,,,15,,
436285090,primary,2,,West Harbor Drive,way,,,14,,
436285091,primary,3,,West Market Street,way,,,10,,
436285092,primary,3,,West Market Street,way,,,9,,
436285098,primary,4,,West Market Street,way,,,10,,
436598117,primary,3,,West Market Street,way,,,8,,
436598120,primary,3,,West Market Street,way,,,8,,
436598122,primary,2,,West Market Street,way,,,8,,
436598123,primary,2,,West Market Street,way,,,10,,
571855323,primary,3,45 mph,West Harbor Drive,way,,,13,,
593992489,residential,,,Union Street,way,,,3,,
593992705,primary,2,,West Market Street,way,,,10,,
593992706,primary,2,,West Market Street,way,,,9,,
617119340,primary,2,,West Market Street,way,,,8,,
617119344,primary,2,,West Market Street,way,,,7,,
699172156,primary,,,West Market Street,way,,,9,,
699172157,primary,3,45 mph,West Harbor Drive,way,,,11,,
699172159,primary,2,,West Harbor Drive,way,,,14,,
834044038,tertiary,,40 mph,Kettner Boulevard,way,,,6,,
1033805288,primary,4,,West Market Street,way,,,3,,
1049249600,primary,3,,West Harbor Drive,way,,,8,,
1051242772,primary,3,,West Harbor Drive,way,,,6,,
1098930355,primary,4,,West Harbor Drive,way,,,4,,
5960579,residential,,,India Street,way,,,8,,
5968933,residential,,,Columbia Street,way,,,12,,
5999031,residential,,,State Street,way,,,19,,
